id,award_id,base_date,start_date,end_date,amount,outlays,recipient,recipient_uei,award_type,assistance_listing,awarding_agency,awarding_subagency,funding_agency,funding_subagency,description,last_modified
ASST_NON_SECAGD18CA0038_019,SECAGD18CA0038,2018-09-11,2018-09-11,2020-12-31,3000000.0,1543023.09,WORLD LEARNING INC.,PCFKGNDRA2B4,COOPERATIVE AGREEMENT (B),19.415,Department of State,Department of State,,,THIS FEDERAL ASSISTANCE AWARD SUPPORTS WORLD LEARNING FOR THE FY 2018 PROFESSIONAL FELLOWS ON-DEMAND. THE AWARD AUTHORIZES $3.000.000.,2019-02-06 18:57:10.764855+00
ASST_NON_SECAGD18CA0046_019,SECAGD18CA0046,2018-09-11,2018-09-11,2020-08-30,187747.82,50211.04,UNIVERSITY OF OKLAHOMA,EVTSTTLCEWS5,COOPERATIVE AGREEMENT (B),19.415,Department of State,Department of State,,,FY 2018 U.S./PAKISTAN PROFESSIONAL PARTNERSHIP PROGRAM FOR JOURNALISTS IN URDU,2018-10-05 22:46:48.307723+00
ASST_NON_SFJ60018GR0008_019,SFJ60018GR0008,2018-09-11,2019-03-14,2020-03-12,24999.0,0.0,"MARINE AND ENVIRONMENTAL RESEARCH INSTUTUTE OF POHNPEI, INC.",Z1CCE6QHAHX9,PROJECT GRANT (B),19.124,Department of State,Department of State,,,TO TRANSFER CAPTURE-BASED AQUACULTURE FOR RABBITFISHES TO RURAL FISHING COMMUNITIES IN POHNPEI,2018-09-21 18:51:50.381724+00
ASST_NON_SGE21018IN0138_019,SGE21018IN0138,2018-09-11,2018-10-18,2018-10-19,720.0,0.0,INDIVIDUAL RECIPIENT,,PROJECT GRANT (B),19.040,Department of State,Department of State,Department of State,Department of State,DESCRIPTION MASKED FOR PII PURPOSES,2020-07-20 20:07:28.971423+00
ASST_NON_SGE21018IN0139_019,SGE21018IN0139,2018-09-11,2018-10-20,2018-10-26,3623.54,0.0,INDIVIDUAL RECIPIENT,,PROJECT GRANT (B),19.040,Department of State,Department of State,Department of State,Department of State,DESCRIPTION MASKED FOR PII PURPOSES,2019-11-25 23:33:04.448471+00
ASST_NON_SGE21018IN0140_019,SGE21018IN0140,2018-09-11,2018-09-12,2018-09-15,900.0,0.0,INDIVIDUAL RECIPIENT,,PROJECT GRANT (B),19.040,Department of State,Department of State,Department of State,Department of State,DESCRIPTION MASKED FOR PII PURPOSES,2020-07-20 20:07:28.972052+00
ASST_NON_SGECPD18GR0011_019,SGECPD18GR0011,2018-09-11,2018-09-21,2018-10-31,5000.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,TO ADVANCE AN ENTREPRENEURSHIP COMPETITION IN SUPPORT OF MISSION GOAL MISSION GOAL 2: DIVERSIFYING THE LOCAL ECONOMY.,2018-09-21 18:51:49.00848+00
ASST_NON_SGH10018GR0014_019,SGH10018GR0014,2018-09-11,2018-09-17,2019-08-01,10000.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.029,Department of State,Department of State,,,ADVOCACY FOR HIV/AIDS COMMODITIES AND OTHER ISSUES IN THE ASHANTI REGION,2018-09-21 18:51:48.905166+00
ASST_NON_SGH10018GR0015_019,SGH10018GR0015,2018-09-11,2018-09-17,2019-08-31,10000.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.029,Department of State,Department of State,,,ADVOCACY FOR HIV/AIDS COMMODITIES AND OTHER ISSUES IN THE BRONG AHAFO REGION,2018-09-21 18:51:48.901372+00
ASST_NON_SGH10018GR0016_019,SGH10018GR0016,2018-09-11,2018-09-17,2019-08-31,15000.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.029,Department of State,Department of State,,,CSO ADVOCACY FOR HIV/AIDS AND OTHER ISSUES AT THE NATIONAL LEVEL,2018-09-21 18:51:48.897574+00
ASST_NON_SGH10018GR0025_019,SGH10018GR0025,2018-09-11,2018-09-17,2019-08-31,10000.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.029,Department of State,Department of State,,,ADVOCACY FOR HIV/AIDS COMMODITIES AND OTHER ISSUES IN THE WESTERN REGION,2018-09-21 18:51:48.893792+00
ASST_NON_SGR10018GR0022_019,SGR10018GR0022,2018-09-11,2018-09-24,2019-12-31,29000.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,"TO SUPPORT A) WORKSHOPS/SEMINARS ON SOCIAL ENTREPRENEURSHIP WITH INTERMEDIAKT, PATRAS, B) RENOVATION OF SPARTITECHLAB, C) PURCHASE OF NEW EQUIPMENT.",2018-09-21 18:51:48.882383+00
ASST_NON_SHA70018GR0014_019,SHA70018GR0014,2018-09-11,2018-09-28,2019-01-11,3550.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,GRANT TO COVER CLOSING EVENT FOR AFCP GRANT AWARDED TO LE CENTRE D'ART.,2018-09-21 18:51:48.835631+00
ASST_NON_SHK30018GR034_019,SHK30018GR034,2018-09-11,2018-09-11,2018-11-30,6605.0,0.0,MISCELLANEOUS FOREIGN AWARDEES,LN9PU5M2YZN5,PROJECT GRANT (B),19.040,Department of State,Department of State,,,"TO COVER THE COST OF INSTALLING THE WORK ""HOW WE ACT TOGETHER"" & INVITING KYLE MCDONALD TO PARTICIPATE IN THE MICROWAVE INT'L NEW MEDIA ARTS FESTIVAL",2018-09-21 18:51:48.827818+00
